SCC,SC,Total,Pro1-1,Pro1-2,Pro1-3,Pro2,Pro3
110001,kcEulVbIMR,104,1,1,,1,
110002,ddNCOudyRd,95,2,2,,,
110003,bUofrguzUk,103,8,5,4,15,1
110004,nkHNuWKcvx,104,13,2,4,13,
120001,xRGeDSlKHv,40,7,4,,26,1
120002,IUtiPtvBlP,8,,,,,
120003,kVvXrWtNSn,4,,2,,1,
120004,OUxYWzXKXv,27,4,3,2,5,
120005,LBSeDRVcBD,26,3,,1,1,
120007,HqgpumlTVc,14,,,,,
120008,cHQEvFiYgb,41,3,1,3,13,
120009,buTPqUFOER,12,2,,,4,
120010,QVmOcUiURy,133,8,6,11,11,
120012,zhNYufbaCt,12,,,,,
120013,RjomXcvSlU,44,1,,3,4,1
120015,HKdpYxgjYU,157,5,7,5,5,
120016,BdDuCvLfmg,162,13,15,10,22,2
120017,fXhoCHtrmH,94,9,5,4,10,1
120018,xWPVZJYLib,78,5,6,20,39,2
120019,onMWMxuvud,124,19,16,20,52,10
120021,yRNKKcmsId,5,,,,,
120022,fvpWfgvdOd,89,3,2,,6,
120024,RKWPvOmOhF,124,10,7,9,17,
120026,ksUPOANHyr,62,1,2,4,5,
120027,HDHIUyrATO,83,5,2,1,7,
120029,qckvEYTMmi,13,,1,,,
120031,jWqmztATZY,108,,8,4,15,
120032,KtxgHRNhSZ,119,4,4,4,19,1
120033,yDCdahFQxb,37,4,4,2,7,2
120034,ZZMhTIfLJJ,153,6,1,3,6,1
120035,WSoMBKjhSn,124,,1,1,14,
120036,EUjebNjtAd,78,4,10,7,51,7
120038,gICHRmIifj,140,30,10,19,48,2
120039,avAlEaGeEd,113,,2,4,8,1
120040,eMtyHBBDBX,1,,,,1,
120041,BtSTKezNQr,171,3,3,4,8,
120042,fSAzzOPfJG,75,1,4,5,7,1
120043,kFUGXLwrZe,49,2,1,3,4,
120044,NJYPNalzNI,19,1,3,1,1,1
120045,NuSpzPidgL,31,4,2,2,1,
120046,vbsInthKKO,28,1,1,,4,
120047,cLKIlwpqzO,46,7,7,6,9,1
120050,zyJADgDcfP,15,2,2,2,2,
120051,XLuRQpEQpF,17,,1,1,1,
120052,udPtpDBGwr,67,7,2,4,6,
120053,dhvdcTFwND,5,2,,,3,
120054,ZrSYPFntzK,19,4,1,1,5,
120055,xrbTjOrHVY,24,,,,,
120056,elJRDUjCol,5,1,2,3,3,1
120057,JZchhGgYIc,23,4,1,2,5,
120058,nyfZigYRjB,2,,,,1,
120059,dtSnrYPeRi,69,4,5,6,14,1
120060,vferQajJHC,8,1,1,2,3,2
120061,qKYKNcsFPQ,7,,,1,1,
120062,HFJoRsBdmF,43,2,2,,3,
120063,jiAPXMIUyE,6,,,,,
120064,xBFXjcjFDM,15,,1,1,,
120067,drMyRoDOiG,37,,2,,,
120068,QIvuePOboQ,3,,1,,2,
120069,kAqEGbFcyn,95,2,2,3,21,1
120070,hRCqmNKGWQ,137,12,6,9,9,3
120071,HaWMPbmZbF,98,4,3,6,18,
120072,mQqLJBCJZF,25,1,1,1,4,1
120073,igWKcxBcdX,131,2,,2,1,
120074,yWOinywIXt,28,7,3,4,5,
120075,MxjIofoYRp,19,1,1,,7,1
120076,LCmvkPOoAh,43,3,5,3,12,3
120077,HKzBysvvha,118,5,10,3,32,1
120078,YbArJhaTuP,11,,,,1,
120079,whXgiCklfa,34,7,2,5,12,3
120080,wGmRpScNtP,200,19,13,18,61,9
120081,RWqCsBLBan,16,4,1,2,9,
120082,fqaCzePkwn,56,2,3,7,8,
120083,buIoWomYwR,111,11,1,5,2,
120085,OApsjjoXit,34,5,5,10,13,1
120086,mxNTrukJer,19,4,,1,3,1
120087,zCJueioFvf,52,3,6,4,11,1
120088,DiuIMpoCwM,79,24,17,21,24,6
120089,GYMQdYfdsD,44,4,,2,2,
120090,vujkgTxasG,37,12,,,2,
120091,kdjxrkMGny,14,,,,1,
120092,DDzLlFFWbU,32,1,1,2,1,
120093,LGMIvfYzGd,30,2,3,7,4,1
120096,XSZNVQxEKr,102,4,1,10,29,
120098,VIqHqYnmOl,9,1,,1,2,
120099,aNRmklMluD,21,11,6,5,15,
120100,QWIuDcEqlW,16,12,5,3,10,1
120101,BYJdFBhOlj,84,6,1,13,18,1
120102,nffWwDjttM,197,15,18,14,51,2
120103,PgUZGQfXte,35,3,4,5,23,
120104,xvbPXBrxYJ,7,2,,,1,
120105,XWSKUTuguz,66,13,6,8,3,
120107,hUwkYcjTJL,110,6,6,5,3,1
120108,aSpQhvgYdA,52,6,5,4,12,2
120109,xqkikpyUdr,165,19,18,46,54,5
120110,VPAYmlKkih,176,29,31,29,83,14
120111,hAnAOokZOW,69,1,10,2,9,
120112,CtpQGPFOKk,57,5,4,6,11,2
120113,ehRwiXOUWV,78,15,16,8,22,1
120114,PzXtorHBTn,40,8,7,7,18,4
120115,sTmoQzLVmc,8,1,1,1,3,
120116,UYIMPaPeIT,89,14,13,8,22,2
120117,kEVoTBopQg,23,5,4,9,12,5
120118,VokEhmDgur,86,17,17,40,31,5
120120,JdDrnKqDhN,39,3,4,5,16,3
120121,ccjgOIKDGR,113,14,21,13,24,10
120122,RGkMIbDaYO,138,8,8,13,11,1
120123,gQXxVlHKqX,58,3,2,5,3,2
120124,EvFZixdKGk,204,13,8,22,61,1
120125,kYXASXJfdI,83,12,6,3,26,3
120126,zoHcdoCjxb,15,2,1,1,3,2
120127,lBrHBOCJfl,17,,3,6,7,1
120128,DBJQDHtJQN,12,3,1,4,7,
120129,NgHTxcJhrf,19,1,1,2,6,
120132,FFoXehxhyJ,49,4,,5,3,
120133,pBpGYeOmdZ,2,1,1,,1,
120135,JuwdwNNwCl,16,,,,,
120136,UePjAsoNGz,12,,,1,1,
120142,sOEZfXPhWJ,55,2,2,3,1,1
120145,PKRYWAbAuQ,35,1,1,1,3,
120146,nEiypBLygc,33,1,1,,,
120147,INGJTrHDlQ,18,1,1,,,
120149,wYwdwmwRSL,159,3,6,3,30,
120150,lTNhKYsjJV,55,6,5,9,28,3
120151,eRocLQhaCX,77,3,15,6,6,2
120153,PXIoSLBnzL,87,6,2,3,5,2
120154,kaSpQYorqA,131,1,1,4,12,
120155,KKzNvaOCQG,86,1,4,3,12,1
120156,rsnBuYFkKS,178,10,14,16,83,3
120157,ybdOMeNFvo,134,4,4,8,13,
120158,dQzsdjUqcN,28,4,1,4,1,
120160,FgwnqtgLMq,1,,,,,
120161,OqkOrKrJMd,24,6,8,13,14,5
120162,TAAECsPEDV,6,1,1,1,1,1
120163,WwgaRnjrci,47,11,8,8,27,18
120164,GzjxNZlFZi,53,7,2,2,7,
120165,zPipVDysKz,4,,,2,,
120166,EgeFFLXmEL,16,1,1,1,5,
120167,FNyAzdnZDX,66,12,4,2,11,
120168,sgEGhAdjDr,5,,,,,
120169,SZCTKxcsCu,34,4,,1,,
120170,lrEdDQdvCn,91,15,8,8,29,3
120171,ceiOydEVbZ,34,2,3,,,
